CommonName,BotanicalName,Family,PlantType,MatureSize,SunExposure,SoilType,SoilpH,BloomTime,FlowerColor,HardinessZones,NativeArea,Toxicity,NativeAreas,CommonNames,Commonname,Size,HardinessZone,NativeRange,FamilyName,ScientificName,FlowerColors,BotanicalNames,Botanicaname,Planttype,Maturesize,Sunexposure,Soiltype,Bloomtime,Flowercolor,Hardinesszones,Nativearea,BloomColor,USDAHardinessZone,USDAHardinessZones,Toxicity:,,"Mizunakyona,shuicai","5to7incheshigh,10to15incheswide","Well-drained,richsoil",Spring(nottypicallygrownforflowers),4to9,Botanicalname,GrowingTime,Commonnames,Phyllostachysaurea,LightExposure,GrowingZones,CommonName:,BotanicalName:,Family:,PlantType:,Size:,SunExposure:,SoilType:,SoilpH:,BloomTime:,HardinessZones:,NativeArea:,Dracaenatrifasciata(formerlySansevieriatrifasciata),"Evergreen,perennial",Shadetopartialsun,Slightlyacidictoslightlyalkaline,White,WestAfrica(tropical),BotaicalName,SoilNeeds,PlantTypes,Nativerange,BontanicalName,Soilp,Toxicty,otanicalName,NativeAreaEastern,GrowingMedia,LeafColor,ParrotTulip,"5inchesacross,15-20inchstems","Chalky,loamy,andsandysoil",Spring,4-7,PlantFamily,WaterpH,BoomTime,WaterType,Soil,PlantSize,USDAhardinesszone,SunType,Zones,BloomTIme,Parthenocissusquinquefolia,"Perennial,Vine","Full,Partial,Shade",Neutraltoacidic(5.1to7.3),Greenishwhite,EasternandCentralUnitedStates,USDAPlantHardinessZones,SoilpHN,Flower,Flower(Bract)Color,BotanialName,url,Water
Null,Carya illinoinensis,Juglandaceae,Deciduous tree,"70-100 ft. tall, 40-75 ft. wide",Full sun,"Loamy, sandy, well-drained",Neutral to acidic (6.5 to 7),Spring,Inconspicuous,"5-9, USDA",Central and east central United States and Mexico,Null,Null,Null,"Pecan tree, hardy pecan tree",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/pecan-tree-growing-guide-5195532,"Sufficient water is very important for pecan trees, both during the establishment of a young tree as well as to ensure a good crop in mature nut-bearing trees."
"Bee balm, monarda, wild bergamot",Monarda spp.,Lamiaceae,"Herbaceous, perennial","10–48 in. tall, 10–36 in. wide","Full, partial","Rich, moist","Acidic, neutral",Summer,"Red, purple, pink, white, lavender",3–9 (USDA),North America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/red-bee-balm-plants-2132327,"Bee balm is a moisture-loving plant and enjoys having consistently damp soil. Because of this, depending on your climate and area, you should plan to water the plant at least weekly, never allowing the soil to dry out. It's especially important to maintain a proper watering cadence in the plant's first year, as that allows it to establish a solid root system. The standard garden practice of offering 1 inch of water per week will work fine for bee balm."
Carrotwood Tree,Cupaniopsis anacardioides,Sapindaceae,Evergreen,"40 ft. tall, 30 ft. wide",Full sun,Adaptable,6.0 to 8.5,Winter,White,10-11 (USDA),Australia,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/carrotwood-tree-growing-guide-6375057,"The strange thing about carrotwood trees is that they thrive in hot, humid, and wet environments like the coastal areas of Florida and Hawaii but do not require much water once it is established. Carrotwoods do not take long to establish themselves and only need to be watered during that first calendar year using standards that are pretty normal, 10 gallons per caliper inch of trunk diameter. After the first year, you can taper it off and just water when there are droughts or long spells without rain. It is an evergreen, so you will base your first year of watering on a 12-month timeline from when you planted it since it does not have a dormant period. Water occasionally, and it should be content."
"Coppertips, montbretia",Crocosmia spp.,Iridaceae,Perennial grown from corms,2-3 feet high,Full sun is preferred; partial sun is tolerated,Well-drained,Neutral,Summer,"Red, yellow, orange",6-9,South Africa,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/crocosmia-coppertips-plant-profile-4691132,"Crocosmia plants need regular watering, but you should not overwater them. Water when the top of the soil feels dry."
"Angelonia, summer snapdragon",Angelonia angustifolia,Plantaginaceae,"Perennial in warm climates, grown as an annual in USDA zones 8 and lower","18 inches tall, 9 to 12 inches wide",Full sun,"Moist, fertile, well-drained",Acidic,Summer,"White, pink, mauve, violet, purple",9-11 (USDA),"Mexico, West Indies, South America",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/how-to-grow-and-care-for-angelonia-4687127,Angelonia is quite hardy and will keep blooming through periods of drought. Water when the top few inches of soil feels dry. Supplemental moisture is fine if the plants have good drainage.
Weeping willow,Salix babylonica,Salicaceae,Tree,"35–50 ft. tall, 5–50 ft. wide",Full,Moist,"Acidic, neutral, alkaline","Winter, spring",Yellow,4–10 (USDA),China,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/weeping-willow-trees-salix-babylonica-3269357,"Willows like standing water. Their long, far-reaching root systems can be helpful in clearing up puddle- and flood-prone areas of a landscape. They also like to grow near ponds, streams, and lakes."
Lamb's ear,Stachys byzantina,Lamiaceae,Herbaceous perennial,"9-18 in. tall, 12-18 in. wide","Full, partial",Well-drained,"Acidic, alkaline, neutral","Spring, summer","Purple, pink",4-8 (USDA),Mediterranean,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/lambs-ear-1402849,"Lamb's ear is native to dry regions of western Asia, and it does best in relatively dry to medium-moisture conditions. Rot and fungal leaf spot may result if they receive too much water.2"
"Kale, ornamental kale",Brassica oleracea,Brassicaceae,"Annual, biennial, vegetable","1–2 ft. tall, 1–2 ft. wide","Full sun, partial sun","Loamy, moist, well-drained",Acidic,Spring,Null,7–9 (USDA),Europe,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-kale-1403516,"Kale needs consistent amount of water to stay healthy, generally growing best in 1 to 1 1/2 inches of water per week. Water your kale plants regularly to keep the soil evenly moist but not soggy. Along with cool temperatures, moist soil helps to keep the kale leaves sweet and crisp, rather than tough and bitter. Mulching around your plants can help to keep the soil cool and to retain moisture."
"Ball cactus, balloon cactus, silver ball cactus, blue ball cactus, rounded ball cactus",Parodia magnifica,Cactaceae,Cactus,"3–12 in. tall, 3–18 in. wide","Full sun, partial shade","Sandy, well-drained",Acidic,Summer,"Yellow, pink, red, orange",9–12 (USDA) ,South America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/grow-parodia-cacti-indoors-1902591,"Ball cacti are drought tolerant but they do like water during their growing season. Provide regular water during the spring and summer months, but only when the soil is dry to the touch, thoroughly soaking the soil through when you do water. In the winter the cactus will go dormant and need very little water, so you can cease regular watering and let the soil become very dry between waterings, but do not let it completely dry out. If the cactus is planted in a container, make sure there are several holes in the bottom of the pot to aid in drainage."
Null, Populus tremuloides, Salicaceae, Deciduous tree, 20 to 50 feet tall, Full sun," Well-drained, fertile",5.5 to 8.0,Null,Null," 1 to 6, USDA", North America,Null,Null," Quaking aspen, trembling aspen, American aspen, golden aspen, mountain aspen, trembling poplar, white poplar",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/quaking-aspen-tree-plant-care-and-growing-guide-5199487,"For best results, keep its soil evenly moist."
Null,Null,Crassulaceae,"Herbaceous, perennial",1.5–2 ft. tall and wide,Full,"Sandy, well-drained","Acidic, neutral, alkaline","Summer, fall","Pink, red",3-9 (USDA),Null,Null,"Europe, Asia","Autumn Joy, Autumn Joy stonecrop, stonecrop, sedum, rock moss, gold chain",Null,Null,Null,Null,Null,Null,Null,"Hylotelephium telephium 'Herbstfreude' (‘Autumn Joy’), formerly Sedum telephium ‘Autumn Joy’",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/autumn-joy-sedum-2132607,"Autumn Joy does not need much water and has excellent tolerance for drought. Even in the heat of summer, light watering every two weeks or so is sufficient. More frequent watering can cause the roots to rot."
"Cardamom, Cardamon, Cardamum, Green Cardamom, True Cardamom",Elettaria cardamomum,Null,"Herbaceous, evergreen, rhizomatous perennial ","6 - 15 ft. tall, 4 - 10 ft. wide outdoors, 2 - 4 ft. tall indoors",Part to full shade,Loam,"5.1 - 5.5 (strongly acidic), 6.1 - 6.5 (mildly acidic)",April to May ,White or yellowish,"10-12, USDA","Asia (India, Burma and Sri Lanka)",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/cardamom-plant-profile-5185720,"Mist frequently with rainwater; water regularly but do not overwater. Cardamom does best in sites where conditions are stable year-round, without much change to the climate, soil moisture, or natural light exposure."
"Robellini palm, pygmy date palm, miniature date palm ",Phoenix roebelenii,Null,Tree,"6-12 ft. tall, 5-10 ft. wide ","Full sun, partial sun",Moist but well-drained ,"Acidic, neutral, alkaline ",Spring ,Creamy white ,"9a, 9b, 10a, 10b, 11a, 11b",Asia,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/robellini-palm-plant-profile-5191248,"While robellini palms can tolerate short periods of drought, these palms should be watered regularly so that the soil never dries out completely. Water deeply once the soil has partially dried. Newly-planted robellini palms should be watered daily for the first two weeks to help establish their root systems, after which watering can be reduced to two to three times a week, depending on temperatures. As a general tip, the best time to water robellini palms is during the morning or evening, and you should not water during the hottest times of day."
 Inaba Shidare Japanese maple," Acer palmatum var. dissectum 'Inaba Shidare,' Acer palmatum var. dissectum 'Inaba-shidare'", Sapindaceae (soapberry), Deciduous shrub or small tree, Up to 12 feet tall and 15 feet wide, Full sun to partial shade," Evenly moist, fertile, well-drained", Slightly acidic,Null,Null, 5 to 9 (USDA), Species plant is native to Japan,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/inaba-shidare-japanese-maple-guide-5323197,Provide your tree with an evenly moist soil. The soil in its root zone should never dry out completely. But neither should you irrigate so much that the ground becomes waterlogged.
"White trout lily, white dogtooth lily, adder's tongue",Erythronium albidum,Liliaceae,"Herbaceous, perennial","6–12 in.tall, 3–6 in. wide","Partial, shade",Moist,Neutral,Spring,White,3a–8a (USDA),Null,Null,North America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/dogtooth-violet-plant-profile-5085806,"White trout lily, like other species in the genus, needs consistent moisture. If growing in your garden, try not to let them dry out, and make sure to water regularly in times of drought. Enhance soil moisture by planting in a suitably shady location, and covering the ground with some natural mulch, like pine bark."
"Sweet William, bunch pink, bearded pink, pinks",Dianthus barbatus,Caryophyllaceae,"Herbaceous, perennial","1-2 ft. tall, 0.5-1 ft. wide","Full, partial","Moist, well-drained","Acidic, neutral, alkaline","Spring, Summer","Red, Pink, White",3-9 (USDA),Europe,Toxic to pets and people1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/sweet-williams-growing-guide-5200995,"Water sweet William regularly through the growing season, but take care not to overwater. Waterlogged conditions promote fungal diseases in this species.2 A moist but not saturated substrate is best."
Null,Pachypodium lamerei,Null,Deciduous succulent (not related to true palms),"12 to 24 ft. tall, 10 to 12 ft. wide",Full sun,"Cactus compost, well-drained chalk, loam, or sand",Alkaline,Summer,"White, yellow, red, or pink","9-11, USDA",Southern Madagascar,Toxic to humans and pets,Null,"Madagascar Palm, Madagascar Cactus Palm Tree, Pachypodium Species, Club Foot",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-madagascar-palms-5112648,Allow the soil to dry between waterings in spring and summer. Expect leaves to drop in winter unless specimens are grown in south Florida or indoors where plants may keep their foliage.
Smooth sumac,Rhus glabra,Anacardiaceae,Deciduous shrub,9-15 ft. tall,"Full sun, partial sun","Average, well-drained","Acidic, neutral, alkaline","Spring, summer","Yellow, green",3-9 (USDA),North America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-smooth-sumac-rhus-glabra-5094172,"Until the shrub establishes itself, you should irrigate it regularly by providing a deep drenching watering about once a week during the first growing season. The tree does well in dry to average moisture areas; once established, no watering other than rainwater is necessary. It is somewhat drought tolerant."
"String of nickels, button orchid ",Dischidia nummularia ,Null,Succulent,"12-18 in. long, 15-24 in. spread ","Partial sun, partial shade ",Well-drained ,"Neutral, alkaline ","Spring, summer ","Yellow, white ",10a to 11b,"India, Asia, Australia ",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/string-of-nickels-profile-5186005,"Keep the potting medium evenly moist but be careful to avoid waterlogging the roots; they should never sit in water for extended periods of time. String of nickels also benefit from regular misting, which helps the plant absorb moisture through the leaves."
"Blue beard, blue mist, blue spirea ",Caryopteris × clandonensis,Lamiaceae,Deciduous shrub or woody perennial,2–4 ft. tall and wide,Full,"Medium moisture, well-drained",Neutral (6.5 to 7.5),Midsummer to early fall,"Blue, purple; pink cultivars available",6b-9a (USDA),Hybrid; parent species native to east Asia,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/what-is-blue-mist-shrub-1402271,"Blue beard plants are drought-tolerant, but water them regularly when young. Once established, they don’t require any supplemental watering unless you are having a particularly dry season."
String of bananas,Senecio radicans syn. Curio radicans,Null,Succulent,36 inches long,Full sun,"Well-draining, succulent soil",6.6-7.5,Spring,"White, light pink",Null,South Africa,Toxic to humans and pets,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-string-of-bananas-plants-5089192,"This hardy succulent is considered to be drought-tolerant with low water needs. There is no universal schedule for how often a string of bananas will need to be watered as this can depend on a variety of factors, but, as a general rule, the soil should be allowed to dry out completely between waterings."
"Gasteria, ox tongue, cow's tongue",Gasteria spp.,Asphodelaceae,"Perennial, succulent","4-24 in. tall, 12 in. wide","Full, partial","Sandy, well-drained","Acidic, neutral","Winter, spring","Red, pink",9-11 (USDA),South Africa,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/grow-gasteria-succulents-indoors-1902979,"Like other succulents, these plants don't need much water. Allow the soil to almost completely dry out between waterings. If the plant gets rainfall outdoors, usually no supplemental watering will be necessary."
"Viscaria, sticky catchfly, clammy campion, rose of heaven",Silene viscaria (also classified as Viscaria vulgaris or Lychnis viscaria),Null,Perennial,12-18 in. tall,"Full, partial","Well-drained, sandy, loamy",Slightly acidic to slightly alkaline (6.1-7.8),Summer,Purple,3-8 (USDA),"Europe (Iceland), North America (Canada, Greenland), Asia (Kazakhstan, Siberia)",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-viscaria-plants-5084924,"Viscaria plant is undemanding and somewhat drought-resistant, but don't let your plants become too dry. Water either in the morning or evening, as opposed to the midday, particularly on sunny days. Plus, don't let the soil become waterlogged; it might cause root rot and kill the plant."
Null,Tibouchina urvilleana (sometimes categorized as Tibouchina semidecandra),Melastomataceae,Broadleaf evergreen shrub or small tree,6-8 ft. tall outdoors (occasionally to 15 ft.); 2-3 ft. tall indoors,Full (prefers some afternoon shade in the hottest zones),"Rich, well-drained","Acidic, neutral",Year-round seasonal bloomer,Purple with red edges,"Zones 9-11  (USDA); in zone 8, can be grown as perennial that dies back to the ground",Brazil,Null,Null,"Princess flower, glory bush, purple glory bush, lasiandra, pleroma, velvet-leaf tibouchina, and spider flower ",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/princess-flower-growing-profile-3269233,"Princess flower is somewhat tolerant of drought but does best when regularly watered. Unless it's very hot, weekly watering is sufficient (no more than 1 inch of water per week, through a combination of rainfall and irrigation). Be careful to avoid overwatering, as very wet soil can injure the plant."
Purple pampas grass,Cortaderia jubata,Null,"Perennial, herbaceous","6-10 ft. tall, 4-6 ft. wide",Null,"Sandy, clay, moist, well-drained",Null,"Summer, fall","Pink, purple, white",7-11 (USDA),Null,Null,South America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-purple-pampas-grass-5087587,Null
